OP | REF | HYP
DEL | overview | ****
DEL | and | ****
DEL | main | ****
DEL | themes | ****
DEL | 00 | ****
DEL | 00 | ****
DEL | 00 | ****
DEL | professor | ****
DEL | tamar | ****
DEL | gendler | ****
OK | so | so
DEL | what | ****
SUB | i | why
SUB | want | don't
SUB | to | you
OK | talk | talk
OK | about | about
INS | **** | he
SUB | in | ain't
OK | today's | today's
OK | lecture | lecture
INS | **** | ears
SUB | is | i
SUB | a | still
SUB | strand | am
SUB | in | became
OK | the | the
OK | philosophical | philosophical
OK | tradition | tradition
OK | that | that
SUB | looks | wilkes
OK | not | not
SUB | at | act
OK | the | the
INS | **** | way
INS | **** | he's
INS | **** | being
INS | **** | weights
SUB | ways | you
SUB | in | mean
SUB | which | inter
SUB | human | connected
SUB | interconnectedness | nets
OK | can | can
OK | provide | provide
OK | meaning | meaning
OK | and | and
OK | the | the
OK | possibility | possibility
OK | for | for
OK | flourishing | flourishing
OK | but | but
SUB | which | what's
OK | looks | looks
OK | rather | rather
DEL | at | ****
OK | a | a
DEL | certain | ****
SUB | sort | cactus
SUB | of | stuart
SUB | psychological | love
SUB | detachment | the
SUB | as | logical
SUB | a | detachment
SUB | way | ask
SUB | of | away
OK | dealing | dealing
OK | with | with
INS | **** | a
OK | the | the
OK | inevitable | inevitable
INS | **** | shoots
INS | **** | all
INS | **** | the
SUB | vicissitudes | late
SUB | of | it's
SUB | lived | barry
SUB | experience | it's
OK | and | and
INS | **** | there
INS | **** | is
INS | **** | to
SUB | the | take
SUB | clearest | a
SUB | articulation | nation
OK | of | of
INS | **** | all
OK | the | the
OK | outlook | outlook
OK | that | that
SUB | we'll | will
OK | be | be
OK | considering | considering
OK | today | today
OK | in | in
OK | the | the
OK | context | context
SUB | of | ah
OK | the | the
OK | western | western
OK | tradition | tradition
OK | can | can
OK | be | be
OK | found | found
OK | in | in
OK | the | the
OK | writings | writings
SUB | of | all
OK | the | the
OK | philosopher | philosopher
SUB | epictetus | here
SUB | here's | is
SUB | a | all
OK | wonderful | wonderful
OK | imaginary | imaginary
SUB | portrait | portrayed
SUB | of | on
OK | him | him
OK | from | from
INS | **** | seventeen
INS | **** | fifth
SUB | 1715 | lou
SUB | sitting | sid
SUB | at | ng
SUB | a | added
OK | table | table
SUB | famously | thankfully
OK | with | with
DEL | his | ****
SUB | cane | he's
SUB | which | paying
SUB | he | she
OK | used | used
OK | to | to
OK | walk | walk
DEL | as | ****
DEL | the | ****
