OP | REF | HYP
INS | **** | good
OK | well | well
OK | today | today
OK | we're | we're
DEL | going | ****
SUB | to | gonna
OK | talk | talk
OK | about | about
INS | **** | them
OK | mixing | mixing
INS | **** | in
SUB | and | di
SUB | dilution | lucia
SUB | when | newman
SUB | you | e
SUB | add | has
OK | something | something
OK | to | to
OK | the | the
OK | atmosphere | atmosphere
OK | gases | gases
OK | or | or
OK | particles | particles
INS | **** | all
OK | what | what
OK | happens | happens
OK | to | to
DEL | it | ****
OK | how | how
SUB | does | is
OK | it | it
INS | **** | makes
SUB | mix | them
SUB | in | and
OK | to | to
OK | what | what
OK | degree | degree
OK | does | does
OK | it | it
OK | get | get
OK | diluted | diluted
OK | this | this
OK | is | is
OK | a | a
OK | subject | subject
OK | that | that
INS | **** | s
SUB | has | on
OK | applications | applications
OK | to | to
INS | **** | rome
INS | **** | two
INS | **** | men
SUB | human-induced | induced
OK | air | air
OK | pollution | pollution
OK | but | but
OK | also | also
OK | to | to
OK | a | a
OK | large | large
OK | number | number
OK | of | of
OK | natural | natural
OK | processes | processes
SUB | in | and
SUB | the | atmosphere
SUB | atmosphere | ah
OK | so | so
OK | it's | it's
OK | really | really
INS | **** | it's
SUB | a | really
SUB | set | a
SUB | of | several
OK | quite | quite
OK | fundamental | fundamental
OK | ideas | ideas
OK | and | and
OK | i | i
SUB | could | can
OK | be | be
OK | thinking | thinking
OK | about | about
OK | either | either
OK | small | small
OK | particles | particles
OK | or | or
OK | gases | gases
OK | added | added
OK | to | to
OK | the | the
OK | atmosphere | atmosphere
OK | basically | basically
DEL | something | ****
DEL | that's | ****
SUB | going | something's
SUB | to | gonna
OK | move | move
OK | with | with
OK | the | the
OK | air | air
OK | and | and
DEL | mix | ****
DEL | in | ****
SUB | in | the
SUB | a | makes
SUB | way | n
SUB | if | hint
SUB | the | away
SUB | particles | articles
OK | are | are
OK | large | large
OK | enough | enough
OK | of | of
OK | course | course
OK | they | they
OK | might | might
SUB | gravitationally | gravitational
SUB | fall | e
SUB | out | fallout
OK | after | after
SUB | awhile | while
OK | and | and
OK | that | that
OK | effect | effect
OK | would | would
OK | not | not
OK | be | be
OK | included | included
SUB | in | done
OK | the | the
OK | calculations | calculations
DEL | i'm | ****
SUB | doing | on
SUB | here | to
SUB | so | your
SUB | i'm | slime
SUB | assuming | someone
OK | the | the
OK | particles | particles
SUB | are | our
OK | small | small
OK | or | or
SUB | it's | the
SUB | a | grunted
OK | gas | gas
OK | so | so
OK | that | that
OK | it | it
OK | will | will
OK | just | just
OK | move | move
OK | along | along
INS | **** | with
INS | **** | the
OK | with | with
OK | the | the
SUB | air | or
OK | itself | itself
OK | so | so
INS | **** | hot
SUB | the | these
SUB | easiest | this
OK | case | case
INS | **** | there's
SUB | maybe | a
SUB | it's | law
SUB | a | that
SUB | little | the
SUB | bit | a
SUB | unnatural | natural
OK | but | but
INS | **** | not
OK | not | not
OK | so | so
OK | much | much
OK | is | is
SUB | that | it
SUB | you're | your
SUB | in | honor
SUB | a | can
SUB | confined | find
OK | valley | valley
OK | and | and
INS | **** | a
OK | you | you
OK | know | know
OK | the | the
OK | dimensions | dimensions
OK | of | of
OK | the | the
INS | **** | ballot
SUB | valley | or
SUB | horizontal | song
OK | dimensions | dimensions
OK | of | of
DEL | the | ****
SUB | valley | a
OK | and | and
OK | the | the
OK | valley | valley
OK | is | is
SUB | capped | kept
OK | in | in
OK | some | some
OK | way | way
SUB | i've | r
SUB | written | brittany
SUB | here | air
OK | that | that
SUB | it's | its
OK | capped | capped
OK | by | by
INS | **** | i
SUB | an | mean
SUB | inversion | version
OK | now | now
INS | **** | all
INS | **** | o
SUB | i'll | kg
OK | give | give
OK | a | a
OK | more | more
OK | careful | careful
OK | and | and
OK | physical | physical
OK | interpretation | interpretation
OK | of | of
INS | **** | and
INS | **** | version
SUB | inversion | paul
OK | later | later
OK | on | on
OK | but | but
SUB | an | i'm
SUB | inversion | version
OK | is | is
OK | defined | defined
OK | as | as
OK | a | a
OK | layer | layer
OK | of | of
INS | **** | a
OK | air | air
OK | in | in
OK | which | which
OK | the | the
OK | temperature | temperature
OK | increases | increases
OK | with | with
OK | height | height
OK | and | and
OK | for | for
OK | reasons | reasons
OK | that | that
OK | are | are
OK | not | not
DEL | at | ****
OK | all | all
OK | clear | clear
OK | from | from
OK | what | what
SUB | i've | i
OK | just | just
OK | said | said
OK | but | but
OK | will | will
OK | become | become
OK | clear | clear
DEL | it's | ****
OK | very | very
OK | difficult | difficult
OK | for | for
OK | mixing | mixing
OK | to | to
INS | **** | work
SUB | occur | or
OK | across | across
OK | an | an
DEL | inversion | ****
SUB | an | version
SUB | inversion | conversion
OK | tends | tends
OK | to | to
OK | act | act
OK | almost | almost
OK | like | like
OK | a | a
OK | rigid | rigid
SUB | lid | let
OK | it | it
OK | holds | holds
OK | air | air
OK | and | and
INS | **** | clean
SUB | pollutants | cgs
SUB | below | all
SUB | it | up
SUB | or | below
SUB | in | it
SUB | any | for
SUB | way | many
SUB | prevents | were
SUB | it | prevented
OK | from | from
OK | crossing | crossing
OK | in | in
OK | this | this
OK | case | case
INS | **** | a
INS | **** | traps
SUB | it | that
OK | traps | traps
INS | **** | is
SUB | these | a
SUB | pollutants | looms
OK | below | below
OK | the | the
INS | **** | versions
INS | **** | of
SUB | inversion | all
SUB | so | up
SUB | leaving | leading
OK | that | that
OK | as | as
OK | only | only
OK | partially | partially
SUB | defined | fine
SUB | concept | concepts
OK | for | for
OK | a | a
OK | moment | moment
INS | **** | we
