OP | REF | HYP
DEL | but | ****
OK | the | the
OK | most | most
OK | articulate | articulate
OK | and | and
SUB | well-known | well
SUB | defender | known
SUB | of | offender
OK | dualism | dualism
OK | is | is
OK | the | the
OK | philosopher | philosopher
OK | rene | rene
OK | descartes | descartes
OK | and | and
SUB | rene | renee
OK | descartes | descartes
INS | **** | palm
OK | explicitly | explicitly
OK | asked | asked
OK | a | a
OK | question | question
SUB | are | our
OK | humans | humans
OK | merely | merely
OK | physical | physical
OK | machines | machines
SUB | merely | nearly
OK | physical | physical
OK | things | things
DEL | and | ****
DEL | he | ****
SUB | answered | any
SUB | no | astronaut
OK | he | he
OK | agreed | agreed
OK | that | that
OK | animals | animals
SUB | are | arm
OK | machines | machines
OK | in | in
OK | fact | fact
SUB | he | i
SUB | called | call
OK | them | them
OK | beast | beast
OK | machines | machines
OK | and | and
OK | said | said
OK | animals | animals
INS | **** | non
SUB | nonhuman | human
OK | animals | animals
SUB | are | or
OK | merely | merely
OK | robots | robots
OK | but | but
OK | people | people
OK | are | are
OK | different | different
OK | there's | there's
OK | a | a
INS | **** | do
SUB | duality | well
OK | of | of
INS | **** | the
OK | people | people
SUB | like | white
OK | animals | animals
OK | we | we
OK | possess | possess
OK | physical | physical
SUB | material | garry
SUB | bodies | robots
OK | but | but
INS | **** | on
SUB | unlike | like
OK | animals | animals
OK | what | what
OK | we | we
OK | are | are
SUB | is | he's
OK | not | not
OK | physical | physical
OK | we | we
OK | are | are
OK | immaterial | immaterial
OK | souls | souls
DEL | that | ****
SUB | possess | possessed
OK | physical | physical
SUB | bodies | bought
OK | that | that
INS | **** | at
OK | have | have
OK | physical | physical
OK | bodies | bodies
SUB | that | the
OK | reside | reside
OK | in | in
OK | physical | physical
OK | bodies | bodies
OK | that | that
SUB | connect | connects
OK | to | to
OK | physical | physical
OK | bodies | bodies
INS | **** | on
OK | so | so
OK | this | this
OK | is | is
OK | known | known
OK | as | as
OK | dualism | dualism
OK | because | because
OK | the | the
OK | claim | claim
OK | is | is
DEL | for | ****
DEL | humans | ****
SUB | at | free
SUB | least | human
SUB | there | seven
SUB | are | stir
SUB | two | to
OK | separate | separate
SUB | things | fact
OK | there's | there's
SUB | our | a
OK | material | material
OK | bodies | bodies
OK | and | and
INS | **** | as
SUB | there's | a
SUB | our | are
OK | immaterial | immaterial
SUB | minds | mind
{'WER': 0.364, 'Cor': 90, 'Del': 6, 'Sub': 33, 'Ins': 8}
