OP | REF | HYP
INS | **** | look
SUB | we're | at
SUB | going | it
SUB | to | again
SUB | begin | if
OK | the | the
OK | class | class
OK | proper | proper
INS | **** | bob
SUB | introduction | the
SUB | to | production
OK | psychology | psychology
INS | **** | it
SUB | with | was
OK | a | a
OK | discussion | discussion
OK | about | about
OK | the | the
OK | brain | brain
SUB | and | it
SUB | in | if
SUB | particular | you
SUB | i | or
SUB | want | i
SUB | to | will
SUB | lead | eat
OK | off | off
OK | the | the
OK | class | class
INS | **** | ah
SUB | with | tonight
SUB | an | the
SUB | idea | yep
OK | that | that
OK | the | the
OK | nobel | nobel
OK | prize | prize
OK | winning | winning
INS | **** | well
INS | **** | it
SUB | biologist | just
OK | francis | francis
SUB | crick | grit
SUB | described | cried
SUB | as | guest
OK | the | the
OK | astonishing | astonishing
OK | hypothesis | hypothesis
OK | and | and
DEL | the | ****
OK | astonishing | astonishing
OK | hypothesis | hypothesis
OK | is | is
INS | **** | some
SUB | summarized | riots
OK | like | like
OK | this | this
OK | as | as
OK | he | he
OK | writes | writes
INS | **** | this
SUB | the | donahue
SUB | astonishing | by
SUB | hypothesis | potts
SUB | is | says
OK | that | that
OK | you | you
OK | your | your
SUB | joys | choice
SUB | and | in
OK | your | your
OK | sorrows | sorrows
OK | your | your
OK | memories | memories
DEL | and | ****
SUB | your | you
OK | ambitions | ambitions
SUB | your | are
OK | sense | sense
DEL | of | ****
SUB | personal | why
SUB | identity | didn't
SUB | and | you
OK | free | free
OK | will | will
SUB | are | or
OK | in | in
OK | fact | fact
OK | no | no
OK | more | more
OK | than | than
OK | the | the
OK | behavior | behavior
OK | of | of
SUB | a | the
SUB | vast | past
OK | assembly | assembly
SUB | of | a
OK | nerve | nerve
OK | cells | cells
DEL | and | ****
DEL | their | ****
DEL | associated | ****
SUB | molecules | bob
OK | as | as
SUB | lewis | who
SUB | carroll's | was
SUB | alice | carole
SUB | might | salads
SUB | have | like
SUB | phrased | a
SUB | it | fraser
OK | you're | you're
OK | nothing | nothing
OK | but | but
OK | a | a
OK | pack | pack
OK | of | of
INS | **** | notes
SUB | neurons | stop
OK | it | it
OK | is | is
OK | fair | fair
OK | to | to
OK | describe | describe
OK | this | this
OK | as | as
DEL | astonishing | ****
SUB | it | astonished
SUB | is | reviews
SUB | an | and
SUB | odd | on
OK | and | and
OK | unnatural | unnatural
DEL | view | ****
OK | and | and
OK | i | i
OK | don't | don't
OK | actually | actually
OK | expect | expect
OK | people | people
OK | to | to
OK | believe | believe
DEL | it | ****
DEL | at | ****
SUB | first | that
SUB | it's | the
SUB | an | smoke
SUB | open | one
OK | question | question
OK | whether | whether
SUB | you'll | you
OK | believe | believe
SUB | it | that
OK | when | when
OK | this | this
OK | class | class
OK | comes | comes
OK | to | to
OK | an | an
OK | end | end
OK | but | but
SUB | i'd | i
SUB | be | can
SUB | surprised | surprise
OK | if | if
SUB | many | they
SUB | of | need
OK | you | you
